,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,aantal_cilinders,massa_ledig_voertuig,wam_verzekerd,aantal_deuren,aantal_wielen,europese_voertuigcategorie,vermogen_massarijklaar,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,milieuklasse_eg_goedkeuring_licht,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau
4863,VTB48P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-27T00:00:00.000,2022-12-27T00:00:00.000,2022-12-27T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4864,VTB51J,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-21T00:00:00.000,2023-02-17T00:00:00.000,2023-02-17T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4865,VTB51P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-10T00:00:00.000,2023-02-10T00:00:00.000,2023-02-10T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4866,VTB55P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-21T00:00:00.000,2023-02-21T00:00:00.000,2023-02-21T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4867,VTB56B,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4868,VTB57P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-13T00:00:00.000,2023-01-13T00:00:00.000,2023-01-13T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4869,VTB60J,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-21T00:00:00.000,2023-02-17T00:00:00.000,2023-02-17T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4870,VTB61J,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-21T00:00:00.000,2023-02-17T00:00:00.000,2023-02-17T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4871,VTB61P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-20T00:00:00.000,2023-01-20T00:00:00.000,2023-01-20T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4872,VTB62P,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Nee,4,4,N1,0.03,2023-01-20T00:00:00.000,2023-01-14T00:00:00.000,2023-01-14T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
