,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,massa_ledig_voertuig,wam_verzekerd,aantal_wielen,europese_voertuigcategorie,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,aantal_deuren,aantal_cilinders,vermogen_massarijklaar,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau,milieuklasse_eg_goedkeuring_licht
6309,VKK56S,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2450,Ja,4,N1,2021-05-21T00:00:00.000,2021-05-21T00:00:00.000,2021-05-21T00:00:00.000,5,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6310,VPD98F,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2210,Ja,4,N1,2022-02-17T00:00:00.000,2021-08-05T00:00:00.000,2022-02-17T00:00:00.000,2,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AR,715/2007*2018/1832AR
6311,VPF77B,Bedrijfsauto,MERCEDES-BENZ,EQV,gesloten opbouw,N.v.t.,2730,Ja,4,N1,2022-03-04T00:00:00.000,2022-03-04T00:00:00.000,2022-03-04T00:00:00.000,5,,0.02,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6312,VKS53T,Bedrijfsauto,MERCEDES-BENZ,AMG GLE 53 4MATIC+,gesloten opbouw,N.v.t.,2279,Ja,4,N1,2021-06-08T00:00:00.000,2021-06-08T00:00:00.000,2021-06-08T00:00:00.000,5,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6313,VNF36G,Bedrijfsauto,VOLKSWAGEN,CADDY,gesloten opbouw,N.v.t.,1546,Ja,4,N1,2022-04-30T00:00:00.000,2014-07-22T00:00:00.000,2021-12-22T00:00:00.000,,,0.03,1,Elektriciteit,Z,,,
6314,VNS87H,Bedrijfsauto,VOLVO,XC90,gesloten opbouw,N.v.t.,2019,Ja,4,N1,2022-01-05T00:00:00.000,2022-01-05T00:00:00.000,2022-01-05T00:00:00.000,5,4,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6315,VPN55J,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2529,Ja,4,N1,2022-04-15T00:00:00.000,2022-04-15T00:00:00.000,2022-04-15T00:00:00.000,5,4,0.02,2,Elektriciteit,6,OVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6316,VNT85T,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2208,Ja,4,N1,2022-02-18T00:00:00.000,2021-07-09T00:00:00.000,2022-01-21T00:00:00.000,3,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AR,715/2007*2018/1832AR
6317,VPF89R,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2208,Ja,4,N1,2022-03-24T00:00:00.000,2021-08-05T00:00:00.000,2022-02-25T00:00:00.000,3,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AR,715/2007*2018/1832AR
6318,VPX04N,Bedrijfsauto,LAND ROVER,DISCOVERY,gesloten opbouw,N.v.t.,2308,Ja,4,N1,2022-12-31T00:00:00.000,2022-06-20T00:00:00.000,2022-06-20T00:00:00.000,5,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6319,VRH73N,Bedrijfsauto,BMW,X5 XDRIVE30D,gesloten opbouw,N.v.t.,2167,Ja,4,N1,2022-06-28T00:00:00.000,2022-06-28T00:00:00.000,2022-06-28T00:00:00.000,4,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6320,VGT94L,Bedrijfsauto,VOLVO,XC90,gesloten opbouw,N.v.t.,2065,Ja,4,N1,2020-08-28T00:00:00.000,2019-11-18T00:00:00.000,2020-08-28T00:00:00.000,4,4,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 DG,715/2007*2018/1832DG
6321,VHJ47P,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2390,Ja,4,N1,2021-09-25T00:00:00.000,2021-04-23T00:00:00.000,2021-04-23T00:00:00.000,5,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AM,715/2007*2018/1832AM
6322,VHT47L,Bedrijfsauto,MERCEDES-BENZ,EQV,gesloten opbouw,N.v.t.,2725,Ja,4,N1,2020-12-11T00:00:00.000,2020-12-11T00:00:00.000,2020-12-11T00:00:00.000,,,0.02,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6323,VJH78B,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2425,Ja,4,N1,2021-02-16T00:00:00.000,2021-02-16T00:00:00.000,2021-02-16T00:00:00.000,5,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6324,VJN17K,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2390,Ja,4,N1,2021-02-26T00:00:00.000,2021-02-26T00:00:00.000,2021-02-26T00:00:00.000,5,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6325,VLG01F,Bedrijfsauto,BMW,X5 XDRIVE30D,gesloten opbouw,N.v.t.,2165,Ja,4,N1,2021-07-27T00:00:00.000,2021-02-19T00:00:00.000,2021-07-27T00:00:00.000,4,6,0.00,2,Elektriciteit,6,NOVC-HEV,,
6326,VLJ60P,Bedrijfsauto,GOUPIL,G6,gesloten opbouw,N.v.t.,1825,Ja,4,N1,2021-08-18T00:00:00.000,2021-08-18T00:00:00.000,2021-08-18T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
6327,VPP69F,Bedrijfsauto,MERCEDES-BENZ,EQV,gesloten opbouw,N.v.t.,2725,Ja,4,N1,2022-04-07T00:00:00.000,2022-04-07T00:00:00.000,2022-04-07T00:00:00.000,4,,0.02,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6328,VNB11Z,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2021-10-29T00:00:00.000,2021-10-29T00:00:00.000,2021-10-29T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6329,VNB17Z,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-05-03T00:00:00.000,2021-10-30T00:00:00.000,2021-10-30T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6330,VND89G,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-06-28T00:00:00.000,2021-11-03T00:00:00.000,2021-11-03T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6331,VNZ24G,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-02-28T00:00:00.000,2022-02-28T00:00:00.000,2022-02-28T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6332,VPB54B,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-04-05T00:00:00.000,2022-04-05T00:00:00.000,2022-04-05T00:00:00.000,0,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6333,VPB98P,Bedrijfsauto,CITROEN,E-BERLINGO VAN,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-02-18T00:00:00.000,2021-07-01T00:00:00.000,2022-02-18T00:00:00.000,0,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6334,VPG40B,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-03-14T00:00:00.000,2022-03-14T00:00:00.000,2022-03-14T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6335,VPJ19N,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-03-29T00:00:00.000,2022-03-29T00:00:00.000,2022-03-29T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6336,VPK74B,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-03-23T00:00:00.000,2022-03-23T00:00:00.000,2022-03-23T00:00:00.000,0,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6337,VPN10N,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2424,Ja,4,N1,2022-08-12T00:00:00.000,2022-08-12T00:00:00.000,2022-08-12T00:00:00.000,5,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6338,VPN89P,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-04-08T00:00:00.000,2022-04-08T00:00:00.000,2022-04-08T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6339,VPZ17G,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-06-08T00:00:00.000,2021-11-04T00:00:00.000,2022-06-08T00:00:00.000,5,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6340,VRD01T,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-07-09T00:00:00.000,2022-07-09T00:00:00.000,2022-07-09T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6341,VRD03T,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-07-12T00:00:00.000,2022-07-12T00:00:00.000,2022-07-12T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6342,VRD44N,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-06-11T00:00:00.000,2022-06-11T00:00:00.000,2022-06-11T00:00:00.000,0,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6343,VRH89N,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-08-05T00:00:00.000,2022-08-05T00:00:00.000,2022-08-05T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6344,VRR81D,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-12-30T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6345,VRS59X,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-09-23T00:00:00.000,2022-09-23T00:00:00.000,2022-09-23T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6346,VRT01H,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-09-21T00:00:00.000,2022-09-21T00:00:00.000,2022-09-21T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6347,VRT36N,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-08-31T00:00:00.000,2022-08-31T00:00:00.000,2022-08-31T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6348,VSF79H,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-09-29T00:00:00.000,2022-09-29T00:00:00.000,2022-09-29T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6349,VSH63K,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-01-05T00:00:00.000,2022-02-22T00:00:00.000,2023-01-05T00:00:00.000,,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6350,VSK20L,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-11-08T00:00:00.000,2022-11-08T00:00:00.000,2022-11-08T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6351,VSL55B,Bedrijfsauto,OPEL,COMBO,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-01-25T00:00:00.000,2021-09-22T00:00:00.000,2022-11-07T00:00:00.000,,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6352,VSN04X,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-12-02T00:00:00.000,2022-12-02T00:00:00.000,2022-12-02T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6353,VSN09R,Bedrijfsauto,CITROEN,E-BERLINGO VAN,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-11-19T00:00:00.000,2022-11-19T00:00:00.000,2022-11-19T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6354,VSN45Z,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-11-24T00:00:00.000,2022-11-24T00:00:00.000,2022-11-24T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6355,VSN83R,Bedrijfsauto,PEUGEOT,e-Partner,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-03-15T00:00:00.000,2021-10-21T00:00:00.000,2022-12-23T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6356,VSP05L,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-12-07T00:00:00.000,2022-12-07T00:00:00.000,2022-12-07T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6357,VSP37B,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-11-18T00:00:00.000,2022-11-18T00:00:00.000,2022-11-18T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6358,VSP71R,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-11-23T00:00:00.000,2022-11-23T00:00:00.000,2022-11-23T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6359,VSR22F,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6360,VSR27P,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-12-12T00:00:00.000,2022-12-12T00:00:00.000,2022-12-12T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6361,VST02D,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-12-02T00:00:00.000,2022-12-02T00:00:00.000,2022-12-02T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6362,VST09G,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-12-01T00:00:00.000,2022-12-01T00:00:00.000,2022-12-01T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6363,VSV95K,Bedrijfsauto,TOYOTA,Proace City Electric,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-12-28T00:00:00.000,2022-04-27T00:00:00.000,2022-12-28T00:00:00.000,,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6364,VSX95N,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-12-15T00:00:00.000,2022-12-15T00:00:00.000,2022-12-15T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6365,VSZ44G,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-01-14T00:00:00.000,2023-01-14T00:00:00.000,2023-01-14T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6366,VTB76Z,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2022-12-27T00:00:00.000,2022-12-27T00:00:00.000,2022-12-27T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6367,VTD93X,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-01-17T00:00:00.000,2023-01-17T00:00:00.000,2023-01-17T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6368,VTF04X,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-01-11T00:00:00.000,2023-01-11T00:00:00.000,2023-01-11T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6369,VTH28P,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-01-17T00:00:00.000,2023-01-17T00:00:00.000,2023-01-17T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6370,VTH73R,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-01-16T00:00:00.000,2023-01-16T00:00:00.000,2023-01-16T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6371,VTJ25L,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-01-27T00:00:00.000,2023-01-27T00:00:00.000,2023-01-27T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6372,VTJ85Z,Bedrijfsauto,FIAT,E-DOBLO,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-02-03T00:00:00.000,2023-02-03T00:00:00.000,2023-02-03T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6373,VTL63F,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6374,VTL64F,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-02-03T00:00:00.000,2023-02-03T00:00:00.000,2023-02-03T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6375,VTL83G,Bedrijfsauto,CITROEN,E-BERLINGO VAN,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-01-31T00:00:00.000,2023-01-31T00:00:00.000,2023-01-31T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6376,VTN54B,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-02-09T00:00:00.000,2023-02-09T00:00:00.000,2023-02-09T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6377,VTP56J,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6378,VTP94G,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-02-24T00:00:00.000,2023-02-24T00:00:00.000,2023-02-24T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6379,VTR50H,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-02-22T00:00:00.000,2023-02-22T00:00:00.000,2023-02-22T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6380,VTR53H,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-03-10T00:00:00.000,2023-03-10T00:00:00.000,2023-03-10T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6381,VTR56H,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-02-23T00:00:00.000,2023-02-23T00:00:00.000,2023-02-23T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6382,VTR57H,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-02-23T00:00:00.000,2023-02-23T00:00:00.000,2023-02-23T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6383,VTS11N,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Nee,4,N1,2023-03-06T00:00:00.000,2023-03-06T00:00:00.000,2023-03-06T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6384,VTT14S,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Nee,4,N1,2023-03-15T00:00:00.000,2023-03-15T00:00:00.000,2023-03-15T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6385,VTT30K,Bedrijfsauto,PEUGEOT,E-PARTNER,gesloten opbouw,N.v.t.,1624,Ja,4,N1,2023-03-08T00:00:00.000,2023-03-08T00:00:00.000,2023-03-08T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6386,VTX05L,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Nee,4,N1,,,,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6387,VTX09L,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1624,Nee,4,N1,,,,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6388,VLF59B,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2503,Ja,4,N1,2022-12-05T00:00:00.000,2021-07-23T00:00:00.000,2021-07-23T00:00:00.000,5,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AP,715/2007*2018/1832AP
6389,VLV81G,Bedrijfsauto,OPEL,COMBO-E CARGO,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2022-08-05T00:00:00.000,2021-10-18T00:00:00.000,2021-10-18T00:00:00.000,5,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6390,VND26G,Bedrijfsauto,LAND ROVER,DEFENDER,gesloten opbouw,N.v.t.,2172,Ja,4,N1,2023-02-27T00:00:00.000,2021-05-12T00:00:00.000,2021-11-03T00:00:00.000,3,6,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 AR,715/2007*2018/1832AR
6391,VNL04K,Bedrijfsauto,OPEL,COMBO-E CARGO,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2023-01-11T00:00:00.000,2021-12-10T00:00:00.000,2021-12-10T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,,715/2007*2018/1832AX
6392,VNR03J,Bedrijfsauto,OPEL,COMBO-E CARGO,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2023-03-06T00:00:00.000,2022-01-03T00:00:00.000,2022-01-03T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,,715/2007*2018/1832AX
6393,VNR26L,Bedrijfsauto,OPEL,COMBO-E CARGO,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2022-03-31T00:00:00.000,2021-12-31T00:00:00.000,2021-12-31T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,,715/2007*2018/1832AX
6394,VNS47X,Bedrijfsauto,OPEL,COMBO-E CARGO,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2022-12-28T00:00:00.000,2022-01-17T00:00:00.000,2022-01-17T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,,715/2007*2018/1832AX
6395,VNS50Z,Bedrijfsauto,OPEL,COMBO-E CARGO,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2022-01-21T00:00:00.000,2022-01-21T00:00:00.000,2022-01-21T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,,715/2007*2018/1832AX
6396,VNT03X,Bedrijfsauto,OPEL,COMBO-E CARGO,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2022-01-26T00:00:00.000,2022-01-26T00:00:00.000,2022-01-26T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,,715/2007*2018/1832AX
6397,VNT13L,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2022-01-15T00:00:00.000,2022-01-15T00:00:00.000,2022-01-15T00:00:00.000,0,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6398,VNT23H,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2022-01-20T00:00:00.000,2022-01-20T00:00:00.000,2022-01-20T00:00:00.000,0,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
6399,VNT45S,Bedrijfsauto,OPEL,COMBO-E CARGO,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2022-01-25T00:00:00.000,2022-01-25T00:00:00.000,2022-01-25T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,,715/2007*2018/1832AX
6400,VNV97B,Bedrijfsauto,TOYOTA,PROACE CITY ELECTRIC,gesloten opbouw,N.v.t.,1607,Ja,4,N1,2022-02-10T00:00:00.000,2022-02-10T00:00:00.000,2022-02-10T00:00:00.000,0,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
