,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,massa_ledig_voertuig,wam_verzekerd,aantal_wielen,europese_voertuigcategorie,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,aantal_deuren,aantal_cilinders,vermogen_massarijklaar,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau,milieuklasse_eg_goedkeuring_licht
11269,VSB42R,Bedrijfsauto,FIAT,SCUDO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-10-01T00:00:00.000,2022-10-01T00:00:00.000,2022-10-01T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11270,VSG95Z,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-10-14T00:00:00.000,2022-10-14T00:00:00.000,2022-10-14T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11271,VSJ07X,Bedrijfsauto,TOYOTA,PROACE,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-10-26T00:00:00.000,2022-10-26T00:00:00.000,2022-10-26T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11272,VSJ43S,Bedrijfsauto,TOYOTA,PROACE,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-11-14T00:00:00.000,2022-11-14T00:00:00.000,2022-11-14T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11273,VSJ62V,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11274,VSJ81G,Bedrijfsauto,PEUGEOT,EXPERT,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-01-12T00:00:00.000,2023-01-12T00:00:00.000,2023-01-12T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11275,VSJ82G,Bedrijfsauto,PEUGEOT,EXPERT,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-01-31T00:00:00.000,2023-01-31T00:00:00.000,2023-01-31T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11276,VSJ83G,Bedrijfsauto,PEUGEOT,EXPERT,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-01-31T00:00:00.000,2023-01-31T00:00:00.000,2023-01-31T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11277,VSJ87T,Bedrijfsauto,FIAT,SCUDO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11278,VSJ88T,Bedrijfsauto,FIAT,SCUDO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-01-19T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11279,VSK18V,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11280,VSK88P,Bedrijfsauto,TOYOTA,PROACE,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-11-10T00:00:00.000,2022-11-10T00:00:00.000,2022-11-10T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11281,VSL05H,Bedrijfsauto,PEUGEOT,EXPERT,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-11-08T00:00:00.000,2022-11-08T00:00:00.000,2022-11-08T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11282,VSN20S,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-11-18T00:00:00.000,2022-11-18T00:00:00.000,2022-11-18T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11283,VSN61K,Bedrijfsauto,TOYOTA,PROACE,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11284,VSN62K,Bedrijfsauto,TOYOTA,PROACE,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-11-29T00:00:00.000,2022-11-29T00:00:00.000,2022-11-29T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11285,VSR38T,Bedrijfsauto,TOYOTA,PROACE,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,2022-11-28T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11286,VST16T,Bedrijfsauto,FIAT,SCUDO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-12-06T00:00:00.000,2022-12-06T00:00:00.000,2022-12-06T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11287,VST75L,Bedrijfsauto,TOYOTA,PROACE,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-12-16T00:00:00.000,2022-12-16T00:00:00.000,2022-12-16T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11288,VST77L,Bedrijfsauto,TOYOTA,PROACE,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-12-16T00:00:00.000,2022-12-16T00:00:00.000,2022-12-16T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11289,VSV04K,Bedrijfsauto,TOYOTA,PROACE,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-12-20T00:00:00.000,2022-12-20T00:00:00.000,2022-12-20T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11290,VSV43X,Bedrijfsauto,FIAT,SCUDO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,2023-02-06T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11291,VSV47Z,Bedrijfsauto,PEUGEOT,EXPERT,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-01-10T00:00:00.000,2023-01-10T00:00:00.000,2023-01-10T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11292,VSZ50K,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2022-12-21T00:00:00.000,2022-12-21T00:00:00.000,2022-12-21T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
