,DateLastVerified,ID,NumberOfPoints,DateLastStatusUpdate,DataQualityLevel,DateCreated,Address_ID,Address_Title,Address_Line1,Address_Town,Postcode,LAT,LON,UsageCost,MetadataValues,DateLastConfirmed,Address_Type
27,2022-09-07T18:21:00Z,202121,1,2022-09-07T18:21:00Z,1.0,2022-09-07T10:21:00Z,202488,Stephensonstraat 39,Stephensonstraat 39,Haarlem,2014,52.369181828691126,4.613651889691823,,,,Straat
28,2022-09-04T11:17:00Z,201483,1,2022-09-04T11:17:00Z,1.0,2022-09-01T20:25:00Z,201847,Robijnstraat,Robijnstraat,Leiden,2332,52.15618310880117,4.463912704653239,,,,Straat
29,2022-09-04T11:18:00Z,201482,2,2022-09-04T11:18:00Z,1.0,2022-09-01T20:18:00Z,201846,7 Carneoolstraat,7 Carneoolstraat,Leiden,2332,52.1546048796059,4.460548931738117,.40,,,Straat
30,2022-09-08T15:21:00Z,201301,1,2022-09-08T15:21:00Z,1.0,2022-08-26T12:12:00Z,201664,Stephensonstraat,Stephensonstraat,Haarlem,2014,52.36994650289088,4.614159016727285,,,,Straat
31,2022-08-28T19:50:00Z,201300,1,2022-08-28T19:50:00Z,1.0,2022-08-26T12:09:00Z,201663,Rutherfordstraat,Rutherfordstraat,Haarlem,2014,52.370876207248756,4.614198948038165,,,,Straat
32,2022-08-12T06:28:00Z,195040,3,2022-08-12T06:28:00Z,1.0,2022-08-11T23:09:00Z,195399,IONITY Mienscheer,"Rijksweg A2 7, Niebert",Niebert,9365,53.161647,6.292686,,,,Tankstation
33,2022-08-08T09:47:00Z,194587,1,2022-08-08T09:47:00Z,1.0,2022-08-07T10:45:00Z,194946,Pijlslaan,Pijlslaan,Haarlem,2014,52.372003720140015,4.611520743119058,"€0.27 per session, €0.31 per kWh, free parking",,,Straat
34,2022-10-10T11:20:00Z,194583,2,2022-10-10T11:20:00Z,1.0,2022-08-06T23:20:00Z,194942,Twaalfmat,Twaalfmat,Heemskerk,1967,52.500278047265056,4.702634557778197,https://fastnedcharging.com/nl/tarieven,,,Straat
35,2022-08-09T21:07:00Z,194582,2,2022-08-09T21:07:00Z,1.0,2022-08-06T23:03:00Z,194941,Lorentzkade,Lorentzkade,Haarlem,2014,52.373997763985926,4.611189696895622,€0.31 per kWh,,,Straat
36,2022-08-05T21:57:00Z,194570,1,2022-08-05T21:57:00Z,1.0,2022-08-05T21:57:00Z,194929,Botnische golf,Botnische golf,Woerden,3446,52.07745826113799,4.904246265408801,,,,Straat
